TOKEN-TYPE          TOKEN-VALUE
-------------------------------------------------
T_CONSTSYM          const
T_IDENT             a
T_EQL               =
T_NUL               10
T_SEMICOLON         ;
T_VARSYM            var
T_IDENT             b
T_COMMA             ,
T_IDENT             c
T_SEMICOLON         ;
T_PROCSYM           procedure
T_IDENT             p
T_SEMICOLON         ;
T_BEGINSYM          begin
T_IDENT             c
T_BECOMES           :=
T_IDENT             b
T_PLUS              +
T_IDENT             a
T_ENDSYM            end
T_BEGINSYM          begin
T_READSYM           read
T_LPAREN            (
T_IDENT             b
T_RPAREN            )
T_WHILESYM          while
T_IDENT             b
T_NEQ               #
T_NUL               0
T_DOSYM             do
T_BEGINSYM          begin
T_CALLSYM           call
T_IDENT             p
T_SEMICOLON         ;
T_WRITE_SYM         write
T_LPAREN            (
T_NUL               2
T_TIMES             *
T_IDENT             c
T_RPAREN            )
T_SEMICOLON         ;
T_READSYM           read
T_LPAREN            (
T_IDENT             b
T_RPAREN            )
T_ENDSYM            end
T_ENDSYM            end
